player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Carlos Cuesta","Vasco da Gama","720","0","1","3","0","3","2","0.22","0.4"
"Renato Marques","Coritiba","129","0","0","4","1","1","1","0.22","0.01"
"Caio Paulista","Grêmio","404","0","0","4","0","4","8","0.21","0.25"
"João Paulo","Chapecoense","506","1","0","3","1","1","0","0.21","0.05"
"Jemmes","Fluminense","1126","0","0","3","0","3","2","0.21","0.11"
"Tomás Pérez","Atlético Mineiro","618","0","0","4","2","1","0","0.2","0.13"
"Guillermo Varela","Flamengo","1069","0","3","4","0","11","11","0.2","1.58"
"André Silva","São Paulo","330","0","0","5","4","2","1","0.2","0.07"
"Chico da Costa","Cruzeiro","193","0","1","6","2","3","0","0.2","0.1"
"Allex","Internacional","320","0","0","3","1","1","0","0.2","1.06"
"Zé Ivaldo","Santos","358","0","0","2","2","0","0","0.2","0.03"
"Lucca","São Paulo","112","0","0","1","0","3","4","0.2","0.91"
"Ronaldo","Internacional","341","1","0","6","1","3","2","0.19","0.42"
"Samuel Xavier","Fluminense","968","0","0","5","1","9","1","0.19","0.96"
"Bruno Lopes","Vasco da Gama","21","0","0","2","1","0","1","0.19","0"
"Victor Caetano","Chapecoense","649","0","0","1","0","0","5","0.19","0.05"
"Diego Hernández","Remo","164","0","1","6","3","7","2","0.19","0.42"
